program_key,program_title,training_level,family_code,family_name,occupation_id,cno11_code,occupation_label,relationship_type,source_url,source_quote,reviewed_at,mapping_version
"COM02M","Comercialización de Productos Alimentarios","intermediate","COM","Comercio y Marketing","occupation:cno11:5210","5210","Jefes de sección de tiendas y almacenes","official_output","https://www.boe.es/eli/es/rd/189/2018","Responsable/encargado de sección/sala/departamento de tienda de alimentación.","2026-08-09","1.0.0"
"COM02M","Comercialización de Productos Alimentarios","intermediate","COM","Comercio y Marketing","occupation:cno11:5220","5220","Vendedores en tiendas y almacenes","official_output","https://www.boe.es/eli/es/rd/189/2018","Vendedor/a de productos alimentarios.","2026-08-09","1.0.0"
"ELE01M","Instalaciones Eléctricas y Automáticas","intermediate","ELE","Electricidad y Electrónica","occupation:cno11:7510","7510","Electricistas de la construcción y afines","official_output","https://www.boe.es/eli/es/rd/2008/02/08/177","Electricista de construcción.","2026-08-20","1.0.0"
"EOC01M","Construcción","intermediate","EOC","Edificación y Obra Civil","occupation:cno11:7111","7111","Encofradores y operarios de puesta en obra de hormigón","official_output","https://www.boe.es/eli/es/rd/2011/11/04/1575","– Encofrador.","2026-08-08","1.0.0"
"EOC01M","Construcción","intermediate","EOC","Edificación y Obra Civil","occupation:cno11:7121","7121","Albañiles","official_output","https://www.boe.es/eli/es/rd/2011/11/04/1575","– Albañil.","2026-08-08","1.0.0"
"EOC01M","Construcción","intermediate","EOC","Edificación y Obra Civil","occupation:cno11:7193","7193","Instaladores de sistemas de impermeabilización en edificios","official_output","https://www.boe.es/eli/es/rd/2011/11/04/1575","– Instalador de sistemas de impermeabilización en edificios y obra civil.","2026-08-08","1.0.0"
"EOC01M","Construcción","intermediate","EOC","Edificación y Obra Civil","occupation:cno11:7240","7240","Soladores, colocadores de parquet y afines","official_output","https://www.boe.es/eli/es/rd/2011/11/04/1575","– Alicatador– solador.","2026-08-08","1.0.0"
"EOC01M","Construcción","intermediate","EOC","Edificación y Obra Civil","occupation:cno11:7291","7291","Montadores de cubiertas","official_output","https://www.boe.es/eli/es/rd/2011/11/04/1575","– Tejador.","2026-08-08","1.0.0"
"FME02B","Fabricación de Elementos Metálicos","basic","FME","Fabricación Mecánica","occupation:cno11:9700","9700","Peones de las industrias manufactureras","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/fabricacion-mecanica/fabricacion-elementos-metalicos.html","Peones y auxiliares de industrias metalúrgicas, de fabricación de productos metálicos y manufactureras.","2026-08-20","1.0.0"
"HOT01M","Cocina y Gastronomía","intermediate","HOT","Hostelería y Turismo","occupation:cno11:5110","5110","Cocineros asalariados","official_output","https://todofp.es/dam/jcr%3A63392ee9-4d38-449b-a196-d0efb714b364/n-tcocinagastronomiaes-pdf.pdf","Las ocupaciones y puestos de trabajo más relevantes son los siguientes: Cocinero.","2026-08-08","1.0.0"
