program_key,program_title,training_level,family_code,family_name,occupation_id,cno11_code,occupation_label,relationship_type,source_url,source_quote,reviewed_at,mapping_version
"ADG01S","Asistencia a la Dirección","higher","ADG","Administración y Gestión","occupation:cno11:4223","4223","Empleados de servicio de personal","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/asistencia-direccion.html","Asistente en departamentos de Recursos Humanos.","2026-08-13","1.0.0"
"AFD02M","Guía en el medio natural y de tiempo libre","intermediate","AFD","Actividades Físicas y Deportivas","occupation:cno11:3723","3723","Instructores de actividades deportivas","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/actividades-fisicas-deportivas/guia-medio-natural-tiempo-libre.html","Diseñar y organizar actividades físico-deportivas recreativas guiadas por el medio natural.","2026-08-13","1.0.0"
"AFD02M","Guía en el medio natural y de tiempo libre","intermediate","AFD","Actividades Físicas y Deportivas","occupation:cno11:3724","3724","Monitores de actividades recreativas y de entretenimiento","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/actividades-fisicas-deportivas/guia-medio-natural-tiempo-libre.html","Monitor de campamentos, de albergues de juventud, de casas de colonias, de granjas-escuelas, y de aulas y escuelas de naturaleza.","2026-08-13","1.0.0"
"AGA01B","Agro-jardinería y Composiciones Florales","basic","AGA","Agraria","occupation:cno11:4121","4121","Empleados de control de abastecimientos e inventario","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/agraria/agrojardineria-composiciones-florales.html","Auxiliar de almacén de flores.","2026-08-13","1.0.0"
"AGA01B","Agro-jardinería y Composiciones Florales","basic","AGA","Agraria","occupation:cno11:5220","5220","Vendedores en tiendas y almacenes","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/agraria/agrojardineria-composiciones-florales.html","Auxiliar de ventas en floristería.","2026-08-13","1.0.0"
"AGA03S","Ganadería y Asistencia en Sanidad Animal","higher","AGA","Agraria","occupation:cno11:2640","2640","Profesionales de ventas técnicas y médicas (excepto las TIC)","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/agraria/ganaderia-asistencia-sanidad-animal.html","Visitador / visitadora de productos de veterinaria.","2026-08-14","1.0.0"
"AGA04M","Aprovechamiento y Conservación del Medio Natural","intermediate","AGA","Agraria","occupation:cno11:6120","6120","Trabajadores cualificados en huertas, invernaderos, viveros y jardines","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/agraria/aprovechamiento-conservacion-medio-natural.html","Viverista.","2026-08-14","1.0.0"
"AGA04M","Aprovechamiento y Conservación del Medio Natural","intermediate","AGA","Agraria","occupation:cno11:8321","8321","Operadores de maquinaria agrícola móvil","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/agraria/aprovechamiento-conservacion-medio-natural.html","Tractorista.","2026-08-14","1.0.0"
"COM02M","Comercialización de Productos Alimentarios","intermediate","COM","Comercio y Marketing","occupation:cno11:5210","5210","Jefes de sección de tiendas y almacenes","official_output","https://www.boe.es/eli/es/rd/189/2018","Responsable/encargado de sección/sala/departamento de tienda de alimentación.","2026-08-09","1.0.0"
"COM02M","Comercialización de Productos Alimentarios","intermediate","COM","Comercio y Marketing","occupation:cno11:5220","5220","Vendedores en tiendas y almacenes","official_output","https://www.boe.es/eli/es/rd/189/2018","Vendedor/a de productos alimentarios.","2026-08-09","1.0.0"
"COM02S","Transporte y Logística","higher","COM","Comercio y Marketing","occupation:cno11:3510","3510","Agentes y representantes comerciales","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/transporte-logistica.html","Comercial de servicios de transporte por carretera.","2026-08-13","1.0.0"
"COM02S","Transporte y Logística","higher","COM","Comercio y Marketing","occupation:cno11:3523","3523","Consignatarios","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/transporte-logistica.html","Consignatario / consignataria de buques.","2026-08-13","1.0.0"
"COM02S","Transporte y Logística","higher","COM","Comercio y Marketing","occupation:cno11:4123","4123","Empleados de logística y transporte de pasajeros y mercancías","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/transporte-logistica.html","Operador / operadora logística.","2026-08-13","1.0.0"
"COM02S","Transporte y Logística","higher","COM","Comercio y Marketing","occupation:cno11:5210","5210","Jefes de sección de tiendas y almacenes","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/transporte-logistica.html","Jefa / jefe de almacén.","2026-08-13","1.0.0"
"COM02SD","Transporte y Logística (distancia)","higher","COM","Comercio y Marketing","occupation:cno11:3510","3510","Agentes y representantes comerciales","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/transporte-logistica.html","Comercial de servicios de transporte por carretera.","2026-08-13","1.0.0"
"COM02SD","Transporte y Logística (distancia)","higher","COM","Comercio y Marketing","occupation:cno11:3523","3523","Consignatarios","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/transporte-logistica.html","Consignatario / consignataria de buques.","2026-08-13","1.0.0"
"COM02SD","Transporte y Logística (distancia)","higher","COM","Comercio y Marketing","occupation:cno11:4123","4123","Empleados de logística y transporte de pasajeros y mercancías","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/transporte-logistica.html","Operador / operadora logística.","2026-08-13","1.0.0"
"COM02SD","Transporte y Logística (distancia)","higher","COM","Comercio y Marketing","occupation:cno11:5210","5210","Jefes de sección de tiendas y almacenes","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/transporte-logistica.html","Jefa / jefe de almacén.","2026-08-13","1.0.0"
"COM03S","Gestión de Ventas y Espacios Comerciales","higher","COM","Comercio y Marketing","occupation:cno11:3510","3510","Agentes y representantes comerciales","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/gestion-ventas-espacios-comerciales.html","Agente comercial.","2026-08-13","1.0.0"
"COM03S","Gestión de Ventas y Espacios Comerciales","higher","COM","Comercio y Marketing","occupation:cno11:5210","5210","Jefes de sección de tiendas y almacenes","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/comercio-marketing/gestion-ventas-espacios-comerciales.html","Encargada / encargado de sección de un comercio.","2026-08-13","1.0.0"
"ELE01M","Instalaciones Eléctricas y Automáticas","intermediate","ELE","Electricidad y Electrónica","occupation:cno11:7510","7510","Electricistas de la construcción y afines","official_output","https://www.boe.es/eli/es/rd/2008/02/08/177","Electricista de construcción.","2026-08-20","1.0.0"
"ELE01S","Sistemas Electrotécnicos y Automatizados","higher","ELE","Electricidad y Electrónica","occupation:cno11:3123","3123","Técnicos en electricidad","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/electricidad-electronica/sistemas-electrotecnicos-automatizados.html","Técnica / técnico en proyectos electrotécnicos.","2026-08-13","1.0.0"
