program_key,program_title,training_level,family_code,family_name,occupation_id,cno11_code,occupation_label,relationship_type,source_url,source_quote,reviewed_at,mapping_version
"ADG01B","Servicios Administrativos","basic","ADG","Administración y Gestión","occupation:cno11:4411","4411","Empleados de información al usuario","official_output","https://www.boe.es/eli/es/rd/2014/02/28/127","Auxiliar de información.","2026-08-12","1.0.0"
"ADG01M","Gestión Administrativa","intermediate","ADG","Administración y Gestión","occupation:cno11:4113","4113","Empleados de oficina de servicios estadísticos, financieros y bancarios","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1631","Empleado de tesorería.","2026-08-12","1.0.0"
"ADG01MD","Gestión Administrativa (distancia)","intermediate","ADG","Administración y Gestión","occupation:cno11:4113","4113","Empleados de oficina de servicios estadísticos, financieros y bancarios","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1631","Empleado de tesorería.","2026-08-12","1.0.0"
"ADG01S","Asistencia a la Dirección","higher","ADG","Administración y Gestión","occupation:cno11:4223","4223","Empleados de servicio de personal","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/asistencia-direccion.html","Asistente en departamentos de Recursos Humanos.","2026-08-13","1.0.0"
"ADG02S","Administración y Finanzas","higher","ADG","Administración y Gestión","occupation:cno11:4111","4111","Empleados de contabilidad","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/administracion-finanzas.html","Administrativa / administrativo contable.","2026-08-12","1.0.0"
"ADG02S","Administración y Finanzas","higher","ADG","Administración y Gestión","occupation:cno11:4113","4113","Empleados de oficina de servicios estadísticos, financieros y bancarios","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/administracion-finanzas.html","Administrativa / administrativo de banca y de seguros.","2026-08-12","1.0.0"
"ADG02S","Administración y Finanzas","higher","ADG","Administración y Gestión","occupation:cno11:4123","4123","Empleados de logística y transporte de pasajeros y mercancías","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/administracion-finanzas.html","Administrativa / administrativo de logística.","2026-08-12","1.0.0"
"ADG02S","Administración y Finanzas","higher","ADG","Administración y Gestión","occupation:cno11:4223","4223","Empleados de servicio de personal","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/administracion-finanzas.html","Administrativa / administrativo de recursos humanos.","2026-08-12","1.0.0"
"ADG02SD","Administración y Finanzas (distancia)","higher","ADG","Administración y Gestión","occupation:cno11:4111","4111","Empleados de contabilidad","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/administracion-finanzas.html","Administrativa / administrativo contable.","2026-08-12","1.0.0"
"ADG02SD","Administración y Finanzas (distancia)","higher","ADG","Administración y Gestión","occupation:cno11:4113","4113","Empleados de oficina de servicios estadísticos, financieros y bancarios","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/administracion-finanzas.html","Administrativa / administrativo de banca y de seguros.","2026-08-12","1.0.0"
"ADG02SD","Administración y Finanzas (distancia)","higher","ADG","Administración y Gestión","occupation:cno11:4123","4123","Empleados de logística y transporte de pasajeros y mercancías","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/administracion-finanzas.html","Administrativa / administrativo de logística.","2026-08-12","1.0.0"
"ADG02SD","Administración y Finanzas (distancia)","higher","ADG","Administración y Gestión","occupation:cno11:4223","4223","Empleados de servicio de personal","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/administracion-gestion/administracion-finanzas.html","Administrativa / administrativo de recursos humanos.","2026-08-12","1.0.0"
"AFD01S","Enseñanza y Animación Sociodeportiva","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:3722","3722","Entrenadores y árbitros de actividades deportivas","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/actividades-fisicas-deportivas/ensenanza-animacion-sociodeportiva.html","Cronometrador / cronometradora, juez / jueza y árbitra / árbitro de competiciones deportivas no oficiales.","2026-08-12","1.0.0"
"AFD01S","Enseñanza y Animación Sociodeportiva","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:3723","3723","Instructores de actividades deportivas","official_output","https://www.boe.es/eli/es/rd/2017/06/23/653","Profesor/a de actividades físico-deportivas.","2026-08-12","1.0.0"
"AFD01S","Enseñanza y Animación Sociodeportiva","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:3724","3724","Monitores de actividades recreativas y de entretenimiento","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/actividades-fisicas-deportivas/ensenanza-animacion-sociodeportiva.html","Animador / animadora de veladas, espectáculos y actividades recreativas en instalaciones turísticas.","2026-08-12","1.0.0"
"AFD01S","Enseñanza y Animación Sociodeportiva","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:5992","5992","Bañistas-socorristas","official_output","https://www.boe.es/eli/es/rd/2017/06/23/653","Socorrista en instalaciones acuáticas.","2026-08-12","1.0.0"
"AFD01SD","Enseñanza y Animación Sociodeportiva (distancia)","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:3722","3722","Entrenadores y árbitros de actividades deportivas","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/actividades-fisicas-deportivas/ensenanza-animacion-sociodeportiva.html","Cronometrador / cronometradora, juez / jueza y árbitra / árbitro de competiciones deportivas no oficiales.","2026-08-12","1.0.0"
"AFD01SD","Enseñanza y Animación Sociodeportiva (distancia)","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:3723","3723","Instructores de actividades deportivas","official_output","https://www.boe.es/eli/es/rd/2017/06/23/653","Profesor/a de actividades físico-deportivas.","2026-08-12","1.0.0"
"AFD01SD","Enseñanza y Animación Sociodeportiva (distancia)","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:3724","3724","Monitores de actividades recreativas y de entretenimiento","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/actividades-fisicas-deportivas/ensenanza-animacion-sociodeportiva.html","Animador / animadora de veladas, espectáculos y actividades recreativas en instalaciones turísticas.","2026-08-12","1.0.0"
"AFD01SD","Enseñanza y Animación Sociodeportiva (distancia)","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:5992","5992","Bañistas-socorristas","official_output","https://www.boe.es/eli/es/rd/2017/06/23/653","Socorrista en instalaciones acuáticas.","2026-08-12","1.0.0"
"AFD02M","Guía en el medio natural y de tiempo libre","intermediate","AFD","Actividades Físicas y Deportivas","occupation:cno11:3723","3723","Instructores de actividades deportivas","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/actividades-fisicas-deportivas/guia-medio-natural-tiempo-libre.html","Diseñar y organizar actividades físico-deportivas recreativas guiadas por el medio natural.","2026-08-13","1.0.0"
"AFD02M","Guía en el medio natural y de tiempo libre","intermediate","AFD","Actividades Físicas y Deportivas","occupation:cno11:3724","3724","Monitores de actividades recreativas y de entretenimiento","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/actividades-fisicas-deportivas/guia-medio-natural-tiempo-libre.html","Monitor de campamentos, de albergues de juventud, de casas de colonias, de granjas-escuelas, y de aulas y escuelas de naturaleza.","2026-08-13","1.0.0"
"AFD02S","Acondicionamiento Físico","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:3723","3723","Instructores de actividades deportivas","official_output","https://www.boe.es/boe/dias/2017/07/08/pdfs/BOE-A-2017-7981.pdf","Entrenador/a personal.","2026-08-21","1.0.0"
"AFD02SD","Acondicionamiento Físico (distancia)","higher","AFD","Actividades Físicas y Deportivas","occupation:cno11:3723","3723","Instructores de actividades deportivas","official_output","https://www.boe.es/boe/dias/2017/07/08/pdfs/BOE-A-2017-7981.pdf","Entrenador/a personal.","2026-08-21","1.0.0"
"AGA01B","Agro-jardinería y Composiciones Florales","basic","AGA","Agraria","occupation:cno11:5220","5220","Vendedores en tiendas y almacenes","reviewed_relationship","https://www.todofp.es/que-estudiar/familias-profesionales/agraria/agrojardineria-composiciones-florales.html","Auxiliar de ventas en floristería.","2026-08-13","1.0.0"
"AGA01M","Producción Agroecológica","intermediate","AGA","Agraria","occupation:cno11:6110","6110","Trabajadores cualificados en actividades agrícolas (excepto en huertas, invernaderos, viveros y jardines)","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1633","Agricultor ecológico.","2026-08-21","1.0.0"
"AGA01M","Producción Agroecológica","intermediate","AGA","Agraria","occupation:cno11:6120","6120","Trabajadores cualificados en huertas, invernaderos, viveros y jardines","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1633","Viverista ecológico.","2026-08-21","1.0.0"
"AGA01M","Producción Agroecológica","intermediate","AGA","Agraria","occupation:cno11:6204","6204","Trabajadores cualificados en apicultura y sericicultura","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1633","Apicultor ecológico.","2026-08-21","1.0.0"
"AGA01M","Producción Agroecológica","intermediate","AGA","Agraria","occupation:cno11:6205","6205","Trabajadores cualificados en la avicultura y la cunicultura","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1633","Avicultor ecológico.","2026-08-21","1.0.0"
"AGA01M","Producción Agroecológica","intermediate","AGA","Agraria","occupation:cno11:6300","6300","Trabajadores cualificados en actividades agropecuarias mixtas","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1633","Trabajador cualificado por cuenta ajena en cultivos y ganadería ecológica.","2026-08-21","1.0.0"
"AGA01M","Producción Agroecológica","intermediate","AGA","Agraria","occupation:cno11:8321","8321","Operadores de maquinaria agrícola móvil","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1633","Operador de maquinaria agrícola y ganadera.","2026-08-21","1.0.0"
"AGA01S","Gestión Forestal y del Medio Natural","higher","AGA","Agraria","occupation:cno11:5993","5993","Agentes forestales y medioambientales","official_output","https://www.todofp.es/que-estudiar/familias-profesionales/agraria/gestion-forestal-medio-natural.html","Agente forestal o similar.","2026-08-21","1.0.0"
"AGA02M","Producción Agropecuaria","intermediate","AGA","Agraria","occupation:cno11:6110","6110","Trabajadores cualificados en actividades agrícolas (excepto en huertas, invernaderos, viveros y jardines)","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1634","Agricultor.","2026-08-21","1.0.0"
"AGA02M","Producción Agropecuaria","intermediate","AGA","Agraria","occupation:cno11:6120","6120","Trabajadores cualificados en huertas, invernaderos, viveros y jardines","official_output","https://www.boe.es/eli/es/rd/2009/10/30/1634","Horticultor.","2026-08-21","1.0.0"
